,jasmin_name,latitude,longitude,Area
252,cherpuk_group,55.55,157.47,Kamchatka and Mainland Asia
253,chichinautzin,19.08,-99.13,Mexico and Central America
254,chiginagak,57.135,-156.99,Alaska
255,,50.324,155.461,Kuril Islands
256,chiles_cerro_negro,0.8170000000000001,-77.938,South America
257,chiliques,-23.58,-67.7,South America
258,chimborazo,-1.464,-78.815,South America
259,chinameca,13.478,-88.33,Mexico and Central America
260,chingo,14.12,-89.73,Mexico and Central America
261,chiquimula_volcanic_field,14.83,-89.55,Mexico and Central America
262,chiracha,6.712000000000001,38.085,Africa and Red Sea
263,,48.98,153.48,Kuril Islands
264,chirippusan,45.338,147.92,Kuril Islands
265,chirpoi,46.525,150.875,Kuril Islands
266,,61.38,-141.75,Alaska
267,chyulu_hills,2.68,37.88,Africa and Red Sea
268,cinnamon_butte,43.24100000000001,-122.10799999999999,Canada and Western USA
269,,-36.446,177.83900000000003,New Zealand to Fiji
270,clear_lake,38.97,-122.77,Canada and Western USA
271,,44.83,-130.3,Hawaii and Pacific Ocean
272,cleveland,52.825,-169.94400000000002,Alaska
273,coatepeque_caldera,13.87,-89.55,Mexico and Central America
274,,46.52,-129.58,Hawaii and Pacific Ocean
275,,46.88,-129.33,Hawaii and Pacific Ocean
276,,-36.739000000000004,-69.834,South America
277,cofre_de_perote,19.492,-97.15,Mexico and Central America
278,colachi,-23.236,-67.645,South America
279,colima,19.514,-103.62,Mexico and Central America
280,colo,-0.162,121.601,Indonesia
281,comondu-la_purisima,26.0,111.92,Mexico and Central America
282,concepcion,11.538,-85.62200000000001,Mexico and Central America
283,copahue,-37.856,-71.183,South America
284,copiapo,-27.3,-69.13,South America
285,corbetti,7.18,38.43,Africa and Red Sea
286,corcovado,-43.18899999999999,-72.794,South America
287,cordon_de_puntas_negras,-23.743000000000002,-67.53399999999999,South America
288,cordon_del_azufre,-25.336,-68.521,South America
289,coronado,29.08,-113.51299999999999,Mexico and Central America
290,coropuna,-15.52,-72.65,South America
291,,39.699,-31.111,Atlantic Ocean
292,cosiguina,12.98,-87.57,Mexico and Central America
293,,36.03,-117.82,Canada and Western USA
294,cotopaxi,-0.677,-78.436,South America
295,crater_basalt_volcanic_field,-42.018,-70.194,South America
296,crater_lake,42.93,-122.12,Canada and Western USA
297,craters_of_the_moon,43.42,-113.5,Canada and Western USA
298,crow_lagoon,54.7,-130.23,Canada and Western USA
299,cu-lao_re_group,15.38,109.12,Philippines and SE Asia
300,cuernos_de_negros,9.25,123.17,Philippines and SE Asia
301,,-41.363,-72.005,South America
302,cuicocha,0.308,-78.36399999999999,South America
303,cuilapa-barbarena,14.33,-90.4,Mexico and Central America
304,cumbal,0.95,-77.87,South America
305,,-30.541999999999998,-178.56099999999998,New Zealand to Fiji
306,,-23.17,-67.07,South America
307,dabbahu,12.595,40.48,Africa and Red Sea
308,dabbayra,12.38,40.07,Africa and Red Sea
309,,33.95,67.92,Middle East and Indian Ocean
310,dama_ali,11.28,41.63,Africa and Red Sea
311,damavand,35.951,52.108999999999995,Middle East and Indian Ocean
312,,55.641000000000005,-161.214,Alaska
313,dar_alages,39.704,45.551,Mediterranean and W. Asia
314,,45.33,114.0,Kamchatka and Mainland Asia
315,davidof,51.97,178.33,Alaska
316,davis_lake,43.57,-170.82,Canada and Western USA
317,,-63.001000000000005,-60.652,Antarctica
318,dempo,-4.03,103.13,Indonesia
319,denison,58.418,-154.44899999999998,Alaska
320,descabezado_grande,-35.58,-70.75,South America
321,,-22.27,-67.97,South America
322,devils_garden,43.512,-120.861,Canada and Western USA
323,diamond_craters,43.1,-118.75,Canada and Western USA
324,didicas,19.077,122.20200000000001,Philippines and SE Asia
325,dieng_volcanic_complex,-7.2,109.92,Indonesia
326,diky_greben,51.452,156.97799999999998,Kamchatka and Mainland Asia
327,dofan,9.78,40.33,Africa and Red Sea
328,domuyo,-36.638000000000005,-70.432,South America
329,,38.23,-26.63,Atlantic Ocean
330,dona_juana,1.5,-76.936,South America
331,dotsero,39.661,-107.035,Canada and Western USA
332,douglas,58.855,-153.542,Alaska
333,dubbi,13.579,41.809,Africa and Red Sea
334,dukono,1.693,127.89399999999999,Indonesia
335,duncan_canal,56.5,-133.1,Alaska
336,,24.15,104.45,Mexico and Central America
