,name,latitude,longitude
402,Golaya,52.26300000000001,157.787
403,Golden Trout Creek,36.358,-118.32
404,Gollu Dag,38.35,34.57
405,Gordon,62.13,-143.08
406,Gorely,52.559,158.03
407,Gorny Institute,57.33,160.2
408,Graciosa,39.02,-27.97
409,Gran Canaria,28.0,-15.58
410,Granada,11.92,-85.98
411,Great Sitkin,52.076,-176.13
412,Grensdalur,64.02,-21.17
413,Griggs,58.354,-155.092
414,Grimsnes,64.03,-20.87
415,Grimsvotn,64.416,-17.316
416,Groppo,11.73,40.25
417,Guadalupe,29.07,-118.28
418,Guagua Pichinca,-0.171,-78.598
419,Guallatiri,-18.42,-69.092
420,Guayaques,-22.895,-67.566
421,Guazapa,13.9,-89.12
422,Gufa,12.55,42.53
423,Guntur,-7.143,107.84
424,Hainan Dao,19.7,110.1
425,Haleakala,20.708,-156.25
426,Halla,33.361,126.53
427,Hanish,13.72,42.73
428,Harra Es-Sawad,13.58,46.12
429,Harra of Arhab,15.63,44.08
430,Harra of Bal Haf,14.05,48.33
431,Harras of Dhamar,14.57,44.67
432,Harrat al Birk,18.37,41.63
433,Harrat ar Rahah,27.8,36.17
434,Harrat Ash Shamah,37.583,1100.0
435,Harrat Ithnayn,26.58,40.2
436,Harrat Khaybar,25.0,39.92
437,Harrat Kishb,22.8,41.38
438,Harrat Lunayyir,25.17,37.75
439,Harrat Rahat,23.08,39.78
440,Harrat Uwayrid,27.08,37.25
441,Haruj,27.25,17.5
442,Hasan Dagi,38.13,34.17
443,Haut Dong Nai,11.6,108.2
444,Havre Seamount,-31.11,179.04
445,Hayes,61.64,-152.411
446,Hayli Gubbi,13.5,40.72
447,Healy,-35.004,178.97299999999996
448,Heard,-53.106,73.513
449,Heart Peaks,58.6,-131.97
450,Hécar,-23.23,-67.75
451,Hekla,63.98,-19.7
452,Helgrindur,64.87,-23.25
453,Hell&#039;s Half Acre,43.5,-112.45
454,Hengill,64.08,-21.32
455,Herbert,52.742,-170.111
456,Hertali,9.78,40.33
457,Hierro,27.73,-18.03
458,Hodson,-56.712,-27.176
459,Hofsjokull,64.78,-18.92
460,Homa Mountain,-0.38,34.5
461,Honggeertu,41.47,113.0
462,Hood,45.374,-121.695
463,Hoodoo Mountain,56.78,-131.28
464,Hornopirén,-41.874,-72.431
465,Hromundartindur,64.07300000000001,-21.202
466,Hualalai,19.692,-155.87
467,Huambo,-15.83,-72.13
468,Huambutillo-Rumicola,13.58,-71.72
469,Huanquihue Group,-39.887,-71.58
