,name,latitude,longitude
349,El Cóndor,-26.632,-68.361
350,El Misti,-16.294,-71.409
351,El Negrillar,-24.18,-68.25
352,El Solo,-27.105,-68.713
353,El Tigre,13.47,-88.43
354,El Valle,8.58,-80.17
355,El Volcán,-22.33,-67.97
356,Elbrus,43.351,42.442
357,Elmenteita Badlands,-0.52,36.27
358,Elovsky,57.55,160.53
359,Emi Koussi,19.8,18.53
360,Emmons Lake,55.341,-162.073
361,Emuruangogolak,1.5,36.33
362,Endeavour Segment,47.95,-129.1
363,Erciyes Dagi,38.52,35.48
364,Erebus,-77.53,167.17
365,Erta Ale,13.6,40.67
366,Es Safa,33.25,37.07
367,Escala,-21.6,-66.88
368,Escanaba Segment,40.98,-127.5
369,Escorial,-25.083,-68.367
370,Esjufjoll,64.27,-16.65
371,Estelí,13.17,-86.4
372,Etna,37.734,15.004
373,Etorofu-Atosanupuri,44.808,147.131
374,Etorofu-Yakeyama,45.012,147.871
375,Evlanov Seamount,48.384,-35.132
376,Eyjafjallajökull,63.63,-19.62
377,Falso Azufre,-26.8,-68.37
378,Fayal,38.6,-28.73
379,Fedotych,57.13,160.4
380,Fentale,8.975,39.93
381,Fernandina,-0.37,-91.55
382,Fisher,54.65,-164.43
383,Flores,14.308,-89.992
384,Flores,39.462,-31.216
385,Fogo,14.95,-24.35
386,Fort Portal,0.7,30.25
387,Fort Selkirk,62.93,-137.38
388,Fourpeaked,58.77,-153.672
389,Fremrinamur,65.43,-16.65
390,Frosty,55.067,-162.835
391,Fuego,14.473,-90.88
392,Fueguino,-54.97,-70.262
393,Fuerteventura,28.358,-147.02
394,Furnas,37.77,-25.32
395,Fuss Peak,50.267,155.246
396,Gabillema,11.08,41.27
397,Gada Ale,13.975,40.408
398,Galeras,1.22,-77.37
399,Galunggung,-7.25,108.058
400,Gamalama Mount,0.8,127.33
401,Gamchen,54.974,160.703
402,Gamkonora,1.38,127.53
403,Gareloi,51.79,-178.794
404,Garibaldi,49.85,-123
405,Garibaldi Lake,49.92,-123.03
406,Gedamsa,8.35,39.18
407,Gede-Pangrango,-6.77,106.965
408,Gemelos-Saladillo,-24.75,-66.17
409,Geodesistoy,56.33,158.67
410,Geureudong,4.813,96.82
411,Geysir,64.32,-20.3
412,Ghegam Ridge,40.275,44.75
413,Giggenbach,-30.036,-178.712
414,Glacier Peak,48.112,-121.113
415,Golan Heights,33.1,35.97
416,Golaya,52.263,157.787
417,Golden Trout Creek,36.358,-118.32
418,Gollu Dag,38.35,34.57
419,Gordon,62.13,-143.08
420,Gorely,52.559,158.03
421,Gorny Institute,57.33,160.2
422,Graciosa,39.02,-27.97
423,Gran Canaria,28,-15.58
424,Granada,11.92,-85.98
425,Great Sitkin,52.076,-176.13
426,Grensdalur,64.02,-21.17
427,Griggs,58.354,-155.092
428,Grimsnes,64.03,-20.87
429,Grimsvotn,64.416,-17.316
430,Groppo,11.73,40.25
431,Guadalupe,29.07,-118.28
432,Guagua Pichinca,-0.171,-78.598
433,Guallatiri,-18.42,-69.092
434,Guayaques,-22.895,-67.566
435,Guazapa,13.9,-89.12
436,Gufa,12.55,42.53
437,Guntur,-7.143,107.84
438,Gunungapi Wetar,-6.642,126.65
439,Hainan Dao,19.7,110.1
440,Haleakala,20.708,-156.25
441,Halla,33.361,126.53
442,Hanish,13.72,42.73
443,Harra Es-Sawad,13.58,46.12
444,Harra of Arhab,15.63,44.08
445,Harra of Bal Haf,14.05,48.33
446,Harras of Dhamar,14.57,44.67
447,Harrat al Birk,18.37,41.63
448,Harrat ar Rahah,27.8,36.17
449,Harrat Ash Shamah,37.583,1100
450,Harrat Ithnayn,26.58,40.2
451,Harrat Khaybar,25,39.92
452,Harrat Kishb,22.8,41.38
453,Harrat Lunayyir,25.17,37.75
454,Harrat Rahat,23.08,39.78
455,Harrat Uwayrid,27.08,37.25
456,Haruj,27.25,17.5
457,Hasan Dagi,38.13,34.17
