,name,url,slug,id,api_endpoint
133,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
134,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
135,Canada and Western USA,https://comet.nerc.ac.uk/location/canada-and-western-usa/,canada-and-western-usa,43,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43
136,Alaska,https://comet.nerc.ac.uk/location/alaska/,alaska,45,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45
137,Canada and Western USA,https://comet.nerc.ac.uk/location/canada-and-western-usa/,canada-and-western-usa,43,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43
138,Canada and Western USA,https://comet.nerc.ac.uk/location/canada-and-western-usa/,canada-and-western-usa,43,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43
139,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
140,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
141,Canada and Western USA,https://comet.nerc.ac.uk/location/canada-and-western-usa/,canada-and-western-usa,43,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43
142,Alaska,https://comet.nerc.ac.uk/location/alaska/,alaska,45,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45
143,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
144,Alaska,https://comet.nerc.ac.uk/location/alaska/,alaska,45,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45
145,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
146,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
147,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
148,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
149,Middle East and Indian Ocean,https://comet.nerc.ac.uk/location/middle-east-and-indian-ocean/,middle-east-and-indian-ocean,49,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/49
150,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
151,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
152,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
153,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
154,Atlantic Ocean,https://comet.nerc.ac.uk/location/atlantic-ocean/,atlantic-ocean,46,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/46
155,Atlantic Ocean,https://comet.nerc.ac.uk/location/atlantic-ocean/,atlantic-ocean,46,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/46
156,Iceland and Arctic Ocean,https://comet.nerc.ac.uk/location/iceland-and-arctic-ocean/,iceland-and-arctic-ocean,52,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/52
157,Canada and Western USA,https://comet.nerc.ac.uk/location/canada-and-western-usa/,canada-and-western-usa,43,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43
158,Antarctica,https://comet.nerc.ac.uk/location/antarctica/,antarctica,47,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/47
159,Antarctica,https://comet.nerc.ac.uk/location/antarctica/,antarctica,47,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/47
160,New Zealand to Fiji,https://comet.nerc.ac.uk/location/new-zealand-to-fiji/,new-zealand-to-fiji,54,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/54
161,Antarctica,https://comet.nerc.ac.uk/location/antarctica/,antarctica,47,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/47
162,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
163,Indonesia,https://comet.nerc.ac.uk/location/indonesia/,indonesia,57,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/57
164,Indonesia,https://comet.nerc.ac.uk/location/indonesia/,indonesia,57,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/57
165,Alaska,https://comet.nerc.ac.uk/location/alaska/,alaska,45,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45
166,Philippines and SE Asia,https://comet.nerc.ac.uk/location/philippines-and-se-asia/,philippines-and-se-asia,56,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/56
167,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
168,Indonesia,https://comet.nerc.ac.uk/location/indonesia/,indonesia,57,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/57
169,Kamchatka and Mainland Asia,https://comet.nerc.ac.uk/location/kamchatka-and-mainland-asia/,kamchatka-and-mainland-asia,50,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/50
170,Africa and Red Sea,https://comet.nerc.ac.uk/location/africa-and-red-sea/,africa-and-red-sea,42,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42
171,Indonesia,https://comet.nerc.ac.uk/location/indonesia/,indonesia,57,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/57
172,Alaska,https://comet.nerc.ac.uk/location/alaska/,alaska,45,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45
173,Philippines and SE Asia,https://comet.nerc.ac.uk/location/philippines-and-se-asia/,philippines-and-se-asia,56,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/56
174,South America,https://comet.nerc.ac.uk/location/south-america/,south-america,53,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53
175,Philippines and SE Asia,https://comet.nerc.ac.uk/location/philippines-and-se-asia/,philippines-and-se-asia,56,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/56
176,South America,https://comet.nerc.ac.uk/location/south-america/,south-america,53,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53
177,South America,https://comet.nerc.ac.uk/location/south-america/,south-america,53,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53
178,Mediterranean and W. Asia,https://comet.nerc.ac.uk/location/mediterranean-and-w-asia/,mediterranean-and-w-asia,48,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/48
179,South America,https://comet.nerc.ac.uk/location/south-america/,south-america,53,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53
180,South America,https://comet.nerc.ac.uk/location/south-america/,south-america,53,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53
