db_name,db_volcano_number,db_name_to_lower,jasmin_name
Puyehue - Cordon Caulle,357150,puyehue_-_cordon_caulle,puyehue_cordon_caulle
Puyuhuapi,358053,puyuhuapi,puyuhuapi
Qualibou,360140,qualibou,qualibou
Quetrupillan,357121,quetrupillan,quetrupillan
Quezaltepeque,342210,quezaltepeque,quezaltepeque
Quilotoa,352060,quilotoa,quilotoa
Quimsachata,354000,quimsachata,quimsachata
NULL,NULL,NULL,rabaul
Ragang,271060,ragang,ragang
Rainier,321030,rainier,rainier
Rajabasa,261290,rajabasa,rajabasa
Rakkibetsudake [Demon],290110,rakkibetsudake_[demon],rakkibetsudake
Ranakah,264071,ranakah,ranakah
Ranau,261251,ranau,ranau
Raung,263340,raung,raung
NULL,NULL,NULL,rausudake
Raususan [Mendeleev],2290020,raususan_[mendeleev],raususan
Reclus,358063,reclus,reclus
NULL,NULL,NULL,red_hill
Reporoa,241040,reporoa,reporoa
Resago,357065,resago,resago
